Avg. Temp,Min Temp,Max. Temp,Precipitation,Date,Year,Month,Total Net Generation (MWh),Weighted_Avg_MWh
45.8,34.1,57.5,2.82,2012-01-01,2012,1,-237.0,3758236.6245377185
47.4,35.9,58.8,2.5,2012-02-01,2012,2,1030.0,3758236.6245377185
60.0,47.5,72.6,3.84,2012-03-01,2012,3,-286.0,3758236.6245377185
60.4,48.2,72.5,2.55,2012-04-01,2012,4,21297.0,3758236.6245377185
71.4,60.8,82.0,7.35,2012-05-01,2012,5,119801.0,3758236.6245377185
73.5,61.2,85.8,2.7,2012-06-01,2012,6,130250.0,3758236.6245377185
82.6,72.4,92.9,7.82,2012-07-01,2012,7,195833.0,3758236.6245377185
77.7,69.4,85.9,6.26,2012-08-01,2012,8,168306.0,3758236.6245377185
71.4,60.4,82.4,2.75,2012-09-01,2012,9,142834.0,3758236.6245377185
61.4,50.4,72.5,2.48,2012-10-01,2012,10,19689.0,3758236.6245377185
46.9,35.3,58.5,0.72,2012-11-01,2012,11,6223.0,3758236.6245377185
49.5,38.5,60.6,4.3,2012-12-01,2012,12,4339.0,3758236.6245377185
45.2,34.8,55.5,2.52,2013-01-01,2013,1,608393.0,5382479.1127484925
43.6,33.0,54.1,4.22,2013-02-01,2013,2,585596.0,5382479.1127484925
45.8,33.8,57.8,1.71,2013-03-01,2013,3,341208.0,5382479.1127484925
60.9,49.4,72.4,3.53,2013-04-01,2013,4,461134.0,5382479.1127484925
67.5,56.6,78.4,3.53,2013-05-01,2013,5,574870.0,5382479.1127484925
76.2,67.1,85.3,10.14,2013-06-01,2013,6,590558.0,5382479.1127484925
79.3,71.3,87.4,6.0,2013-07-01,2013,7,630461.0,5382479.1127484925
76.4,67.4,85.5,4.4,2013-08-01,2013,8,629635.0,5382479.1127484925
70.4,59.5,81.3,3.98,2013-09-01,2013,9,573101.0,5382479.1127484925
61.9,52.0,71.7,2.24,2013-10-01,2013,10,547941.0,5382479.1127484925
50.0,37.2,62.8,3.1,2013-11-01,2013,11,411224.0,5382479.1127484925
47.4,35.7,59.1,5.21,2013-12-01,2013,12,631581.0,5382479.1127484925
38.0,26.2,49.8,3.07,2014-01-01,2014,1,538181.0,5311799.691673682
44.2,33.6,54.7,2.96,2014-02-01,2014,2,351660.0,5311799.691673682
46.5,34.6,58.4,4.96,2014-03-01,2014,3,520066.0,5311799.691673682
